,method,test
42,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof FieldAccess)) {
            return false;
        }
        return super.equals(obj) && ((FieldAccess) obj).owner.equals(owner);
    }","  public void test4()  throws Throwable  {
      Type type0 = Type.getMethodType(""-"");
      FieldAccess fieldAccess0 = new FieldAccess((-2085), type0, ""-"", type0);
      Type[] typeArray0 = new Type[1];
      typeArray0[0] = fieldAccess0.owner;
      Type type1 = Type.getMethodType(fieldAccess0.owner, typeArray0);
      FieldAccess fieldAccess1 = new FieldAccess(2, type1, ""-"", fieldAccess0.type);
      boolean boolean0 = fieldAccess0.equals(fieldAccess1);
}"
43,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof FieldAccess)) {
            return false;
        }
        return super.equals(obj) && ((FieldAccess) obj).owner.equals(owner);
    }","  public void test5()  throws Throwable  {
      Type type0 = Type.BYTE_TYPE;
      FieldAccess fieldAccess0 = new FieldAccess(0, type0, "")V"", type0);
      FieldAccess fieldAccess1 = new FieldAccess(2, fieldAccess0.owner, ""int"", fieldAccess0.owner);
      FieldAccess fieldAccess2 = new FieldAccess(7, fieldAccess0.type, ""int"", type0);
      boolean boolean0 = fieldAccess1.equals(fieldAccess2);
}"
44,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof FieldAccess)) {
            return false;
        }
        return super.equals(obj) && ((FieldAccess) obj).owner.equals(owner);
    }","  public void test6()  throws Throwable  {
      Type type0 = Type.BYTE_TYPE;
      FieldAccess fieldAccess0 = new FieldAccess(0, type0, "")V"", type0);
      FieldAccess fieldAccess1 = new FieldAccess(2, fieldAccess0.owner, ""int"", fieldAccess0.owner);
      FieldAccess fieldAccess2 = new FieldAccess(7, fieldAccess0.type, ""int"", type0);
      boolean boolean0 = fieldAccess1.equals(fieldAccess2);
}"
45,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof FieldAccess)) {
            return false;
        }
        return super.equals(obj) && ((FieldAccess) obj).owner.equals(owner);
    }","  public void test7()  throws Throwable  {
      Type type0 = Type.BYTE_TYPE;
      FieldAccess fieldAccess0 = new FieldAccess(0, type0, "")V"", type0);
      FieldAccess fieldAccess1 = new FieldAccess(2, fieldAccess0.owner, ""int"", fieldAccess0.owner);
      boolean boolean0 = fieldAccess0.equals(fieldAccess1);
}"
46,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof FieldAccess)) {
            return false;
        }
        return super.equals(obj) && ((FieldAccess) obj).owner.equals(owner);
    }","  public void test8()  throws Throwable  {
      Type type0 = Type.BYTE_TYPE;
      FieldAccess fieldAccess0 = new FieldAccess(0, type0, "")V"", type0);
      boolean boolean0 = fieldAccess0.equals(fieldAccess0);
}"
47,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof FieldAccess)) {
            return false;
        }
        return super.equals(obj) && ((FieldAccess) obj).owner.equals(owner);
    }","  public void test9()  throws Throwable  {
      Type type0 = Type.BYTE_TYPE;
      FieldAccess fieldAccess0 = new FieldAccess(0, type0, "")V"", type0);
      boolean boolean0 = fieldAccess0.equals(type0);
}"
48,"    public int hashCode() {
        final int result = super.hashCode() << 4;
        return result | owner.hashCode();
    }","  public void test10()  throws Throwable  {
      Type type0 = Type.DOUBLE_TYPE;
      FieldAccess fieldAccess0 = new FieldAccess(1, (Type) null, ""Kd.J"", type0);
      // Undeclared exception!
      try { 
        fieldAccess0.hashCode();
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.privilizer.FieldAccess"", e);
      }
  }"
49,"    public FieldAccess(final int access, final Type owner, final String name, final Type type) {
        super(access, name, type);
        this.owner = owner;
    }","  public void test11()  throws Throwable  {
      FieldAccess fieldAccess0 = null;
      try {
        fieldAccess0 = new FieldAccess((-1), (Type) null, ""A!|jS2FGI\""#9W,\"""", (Type) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // The validated object is null
         //
         verifyException(""org.apache.commons.lang3.Validate"", e);
      }
  }"
50,,"  public void test0()  throws Throwable  {
      Policy[] policyArray0 = Policy.values();
}"
51,"    public boolean isConditional() {
        return this == ON_INIT || this == DYNAMIC;
    }","  public void test1()  throws Throwable  {
      Policy policy0 = Policy.valueOf(""ON_INIT"");
}"
52,,"  public void test2()  throws Throwable  {
      Policy policy0 = Policy.valueOf(""ALWAYS"");
}"
53,"    public boolean isConditional() {
        return this == ON_INIT || this == DYNAMIC;
    }","  public void test3()  throws Throwable  {
      Policy policy0 = Policy.parse(""ALWAYS"");
}"
54,"    public static Policy defaultValue() {
        return DYNAMIC;
    }","  public void test4()  throws Throwable  {
      Policy policy0 = Policy.defaultValue();
}"
55,"    public boolean isConditional() {
        return this == ON_INIT || this == DYNAMIC;
    }","  public void test5()  throws Throwable  {
      Policy policy0 = Policy.NEVER;
      boolean boolean0 = policy0.isConditional();
}"
56,"    public boolean isConditional() {
        return this == ON_INIT || this == DYNAMIC;
    }","  public void test6()  throws Throwable  {
      Policy policy0 = Policy.ON_INIT;
      boolean boolean0 = policy0.isConditional();
}"
57,"    public boolean isConditional() {
        return this == ON_INIT || this == DYNAMIC;
    }","  public void test7()  throws Throwable  {
      Policy policy0 = Policy.parse("""");
      boolean boolean0 = policy0.isConditional();
}"
58,"    static Pair<Type, Method> methodKey(final String owner, final String name, final String desc) {
        return Pair.of(Type.getObjectType(owner), new Method(name, desc));
    }","  public void test0()  throws Throwable  {
      Pair<Type, Method> pair0 = BlueprintingVisitor.methodKey(""Tw-{{U_yIU<Wh!ec"", ""B|MIA;pkLZ)?S"", ""5-$,TW`yL1;8YEzD"");
}"
59,"    static Pair<Type, Method> methodKey(final String owner, final String name, final String desc) {
        return Pair.of(Type.getObjectType(owner), new Method(name, desc));
    }","  public void test1()  throws Throwable  {
      // Undeclared exception!
      try { 
        BlueprintingVisitor.methodKey("""", """", "",O>"");
        fail(""Expecting exception: StringIndexOutOfBoundsException"");
      } catch(StringIndexOutOfBoundsException e) {
      }
  }"
60,"    BlueprintingVisitor(@SuppressWarnings(""PMD.UnusedFormalParameter"") final Privilizer privilizer, //false positive
        final ClassVisitor nextVisitor,
        final Privilizing config) {
        privilizer.super(new ClassNode(Privilizer.ASM_VERSION));
        this.nextVisitor = nextVisitor;

        // load up blueprint methods:
        for (final Privilizing.CallTo callTo : config.value()) {
            final Type blueprintType = Type.getType(callTo.value());
            blueprintTypes.add(blueprintType);

            final Set<String> methodNames = new HashSet<>(Arrays.asList(callTo.methods()));

            typeInfo(blueprintType).methods.entrySet().stream()
                .filter(e -> methodNames.isEmpty() || methodNames.contains(e.getKey().getName()))
                .forEach(e -> blueprintRegistry.put(Pair.of(blueprintType, e.getKey()), e.getValue()));
        }
    }","  public void test2()  throws Throwable  {
      ClassNode classNode0 = new ClassNode();
      Privilizing privilizing0 = mock(Privilizing.class, new ViolatedAssumptionAnswer());
      BlueprintingVisitor blueprintingVisitor0 = null;
      try {
        blueprintingVisitor0 = new BlueprintingVisitor((Privilizer) null, classNode0, privilizing0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.privilizer.BlueprintingVisitor"", e);
      }
  }"
61,"    BlueprintingVisitor(@SuppressWarnings(""PMD.UnusedFormalParameter"") final Privilizer privilizer, //false positive
        final ClassVisitor nextVisitor,
        final Privilizing config) {
        privilizer.super(new ClassNode(Privilizer.ASM_VERSION));
        this.nextVisitor = nextVisitor;

        // load up blueprint methods:
        for (final Privilizing.CallTo callTo : config.value()) {
            final Type blueprintType = Type.getType(callTo.value());
            blueprintTypes.add(blueprintType);

            final Set<String> methodNames = new HashSet<>(Arrays.asList(callTo.methods()));

            typeInfo(blueprintType).methods.entrySet().stream()
                .filter(e -> methodNames.isEmpty() || methodNames.contains(e.getKey().getName()))
                .forEach(e -> blueprintRegistry.put(Pair.of(blueprintType, e.getKey()), e.getValue()));
        }
    }","  public void test3()  throws Throwable  {
      HashMap<String, FieldNode> hashMap0 = new HashMap<String, FieldNode>();
      HashMap<Method, MethodNode> hashMap1 = new HashMap<Method, MethodNode>();
      BlueprintingVisitor.TypeInfo blueprintingVisitor_TypeInfo0 = new BlueprintingVisitor.TypeInfo((-2515), ""N-K"", hashMap0, hashMap1);
  }"
